STATION_NAME,LATITUDE,LONGITUDE,T1E,T1R,T1B,T2P,T2L,T3B,T3L,T4C,T4W,T5,T6,T7,T8M,T8R,T9,M,C
Rydalmere,-33.81007301,151.0290977,,,,,,,,,,,4,,,,,,1
Schofields,-33.70447724,150.8738169,,8,,,,,,,,23,,,,,,,2
Sefton,-33.88523616,151.0112833,,,,,,8,,,,,,,,,,,1
Seven Hills,-33.77443043,150.9365134,10,12,,,,,,,,19,,,,,,,3
St James,-33.87069742,151.2118374,,,,24,27,20,24,,,,,,19,17,,,6
St Leonards,-33.82238888,151.1941268,23,25,17,,,,,,,,,,,,25,,4
St Marys,-33.76225585,150.776029,5,,,,,,,,,,,,,,,,1
St Peters,-33.9073952,151.1802675,,,,,,,17,,,,,,,,,,1
Stanmore,-33.89454885,151.1640093,,,,16,,,,,,,,,,,,,1
Strathfield,-33.8718105,151.0944271,14,18,27,9,18,,,,,,,,,,15,,6
Summer Hill,-33.89056077,151.1394451,,,,13,,,,,,,,,,,,,1
Sutherland,-34.03178692,151.0571901,,,,,,,,7,5,,,,,,,,2
Sydenham,-33.9143732,151.1666456,,,,,,14,16,19,17,,,,,,,,4
Telopea,-33.79367445,151.041563,,,,,,,,,,,2,,,,,,1
Tempe,-33.92450473,151.1565073,,,,,,,,,16,,,,,,,,1
Thornleigh,-33.731881,151.078253,,,,,,,,,,,,,,,3,,1
Toongabbie,-33.787263,150.9514373,,13,,,,,,,,18,,,,,,,2
Town Hall,-33.87359633,151.2068993,17,21,23,21,24,17,21,22,20,,,,22,20,19,,12
Turramurra,-33.73218221,151.1282818,,,9,,,,,,,,,,,,,,1
Turrella,-33.92995296,151.139909,,,,,,,,,,,,,,9,,,1
Villawood,-33.88090168,150.9760479,,,,,,5,,,,,,,,,,,1
Vineyard,-33.65050415,150.8512458,,6,,,,,,,,,,,,,,,1
Wahroonga,-33.7174292,151.1168923,,,7,,,,,,,,,,,,,,1
Waitara,-33.70999326,151.1043411,,,6,,,,,,,,,,,,,,1
Warrawee,-33.72428546,151.1217568,,,8,,,,,,,,,,,,,,1
Warwick Farm,-33.91344996,150.9350364,,,,,6,2,,,,6,,,,,,,3
Waterfall,-34.13438522,150.9945115,,,,,,,,,1,,,,,,,,1
Waverton,-33.83824525,151.1978555,21,,19,,,,,,,,,,,,23,,3
Wentworthville,-33.80719295,150.9726376,,15,,,,,,,,16,,,,,,,2
Werrington,-33.7592923,150.7583397,4,,,,,,,,,,,,,,,,1
West Ryde,-33.80717213,151.0902289,,,,,,,,,,,,,,,10,,1
Westmead,-33.80852937,150.9880115,11,16,,,,,,,,15,,,,,,,3
Wiley Park,-33.92300854,151.0672762,,,,,,,8,,,,,,,,,,1
Windsor,-33.61392767,150.811408,,4,,,,,,,,,,,,,,,1
Wolli Creek,-33.92854683,151.1541132,,,,,,,,18,15,,,,12,10,,,4
Wollstonecraft,-33.83179487,151.191895,22,,18,,,,,,,,,,,,24,,3
Woolooware,-34.04771809,151.1439953,,,,,,,,2,,,,,,,,,1
Wynyard,-33.86589799,151.2057893,18,22,22,22,25,18,22,,,,,,21,19,20,,10
Yagoona,-33.90655337,151.0241519,,,,,,,5,,,,,,,,,,1
Yennora,-33.8647184,150.9710073,,,,,10,,,,,10,,,,,,,2
